NOTE! Installing ujson may make loading annotations faster.
Using device: cuda:0
Loading COCO dataset...
Loading annotations into memory...
Done (t=8.83s)
Creating index...
index created!
Loading annotations into memory...
Done (t=0.37s)
Creating index...
index created!
Train samples: 117266, Val samples: 4952
Number of classes in mapping: 80

Epoch 0, Batch 250/1833: Loss=3.2697
Epoch 0, Batch 300/1833: Loss=3.1744
Epoch 0, Batch 350/1833: Loss=3.3644
Epoch 0, Batch 400/1833: Loss=2.9863
Epoch 0, Batch 450/1833: Loss=3.3938
Epoch 0, Batch 500/1833: Loss=3.0380
Epoch 0, Batch 550/1833: Loss=3.2235
Epoch 0, Batch 600/1833: Loss=2.9193
Epoch 0, Batch 650/1833: Loss=2.9046
Epoch 0, Batch 700/1833: Loss=3.4459
Epoch 0, Batch 750/1833: Loss=2.8328
Epoch 0, Batch 800/1833: Loss=2.7394
Epoch 0, Batch 850/1833: Loss=3.0434
Epoch 0, Batch 900/1833: Loss=2.8325
Epoch 0, Batch 950/1833: Loss=2.7498
Epoch 0, Batch 1000/1833: Loss=3.1881
Epoch 0, Batch 1050/1833: Loss=2.5700
Epoch 0, Batch 1100/1833: Loss=2.5719
Epoch 0, Batch 1150/1833: Loss=2.7483
Epoch 0, Batch 1200/1833: Loss=2.7258
Epoch 0, Batch 1250/1833: Loss=2.6774
Epoch 0, Batch 1300/1833: Loss=2.5790
Epoch 0, Batch 1350/1833: Loss=3.1021
Epoch 0, Batch 1400/1833: Loss=2.8421
Epoch 0, Batch 1450/1833: Loss=2.6717
Epoch 0, Batch 1500/1833: Loss=2.9816
Epoch 0, Batch 1550/1833: Loss=2.5532
Epoch 0, Batch 1600/1833: Loss=2.7334
Epoch 0, Batch 1650/1833: Loss=2.8156
Epoch 0, Batch 1700/1833: Loss=2.6638
Epoch 0, Batch 1750/1833: Loss=2.5719
Epoch 0, Batch 1800/1833: Loss=3.2191
Epoch 0 | Train Loss: 3.0113 | Val Accuracy: 28.37%
Epoch 1, Batch 0/1833: Loss=2.4098
Epoch 1, Batch 50/1833: Loss=2.4975
Epoch 1, Batch 100/1833: Loss=2.9025
Epoch 1, Batch 150/1833: Loss=2.7447
Epoch 1, Batch 200/1833: Loss=3.0642
Epoch 1, Batch 250/1833: Loss=2.7494
Epoch 1, Batch 300/1833: Loss=2.6892
Epoch 1, Batch 350/1833: Loss=2.5209
Epoch 1, Batch 400/1833: Loss=2.6419
Epoch 1, Batch 450/1833: Loss=2.6759
Epoch 1, Batch 500/1833: Loss=2.6692
Epoch 1, Batch 550/1833: Loss=2.7028
Epoch 1, Batch 600/1833: Loss=2.5334
Epoch 1, Batch 650/1833: Loss=2.4213
Epoch 1, Batch 700/1833: Loss=2.5080
Epoch 1, Batch 750/1833: Loss=2.8787
Epoch 1, Batch 800/1833: Loss=2.5946
Epoch 1, Batch 850/1833: Loss=2.4291
Epoch 1, Batch 900/1833: Loss=2.2583
Epoch 1, Batch 950/1833: Loss=2.6829
Epoch 1, Batch 1000/1833: Loss=2.6500
Epoch 1, Batch 1050/1833: Loss=2.4045
Epoch 1, Batch 1100/1833: Loss=2.4303
Epoch 1, Batch 1150/1833: Loss=2.2735
Epoch 1, Batch 1200/1833: Loss=2.5042
Epoch 1, Batch 1250/1833: Loss=2.3327
Epoch 1, Batch 1300/1833: Loss=2.2837
Epoch 1, Batch 1350/1833: Loss=2.4861
Epoch 1, Batch 1400/1833: Loss=2.6010
Epoch 1, Batch 1450/1833: Loss=2.5557
Epoch 1, Batch 1500/1833: Loss=2.3455
Epoch 1, Batch 1550/1833: Loss=2.6955
Epoch 1, Batch 1600/1833: Loss=2.2843
Epoch 1, Batch 1650/1833: Loss=2.5003
Epoch 1, Batch 1700/1833: Loss=2.5919
Epoch 1, Batch 1750/1833: Loss=2.4918
Epoch 1, Batch 1800/1833: Loss=2.3394
Epoch 1 | Train Loss: 2.5829 | Val Accuracy: 33.26%
Epoch 2, Batch 0/1833: Loss=2.6069
Epoch 2, Batch 50/1833: Loss=2.7195
Epoch 2, Batch 100/1833: Loss=2.4438
Epoch 2, Batch 150/1833: Loss=2.7375
Epoch 2, Batch 200/1833: Loss=2.4165
Epoch 2, Batch 250/1833: Loss=2.5070
Epoch 2, Batch 300/1833: Loss=2.2568
Epoch 2, Batch 350/1833: Loss=2.6446
Epoch 2, Batch 400/1833: Loss=2.5360
Epoch 2, Batch 450/1833: Loss=2.3223
Epoch 2, Batch 500/1833: Loss=2.5164
Epoch 2, Batch 550/1833: Loss=2.4167
Epoch 2, Batch 600/1833: Loss=2.5158
Epoch 2, Batch 650/1833: Loss=2.4868
Epoch 2, Batch 700/1833: Loss=2.4077
Epoch 2, Batch 750/1833: Loss=2.4747
Epoch 2, Batch 800/1833: Loss=2.3086
Epoch 2, Batch 850/1833: Loss=2.1059
Epoch 2, Batch 900/1833: Loss=2.2689
Epoch 2, Batch 950/1833: Loss=2.3219
Epoch 2, Batch 1000/1833: Loss=2.5550
Epoch 2, Batch 1050/1833: Loss=2.4294
Epoch 2, Batch 1100/1833: Loss=2.3836
Epoch 2, Batch 1150/1833: Loss=2.3716
Epoch 2, Batch 1200/1833: Loss=2.8881
Epoch 2, Batch 1250/1833: Loss=2.3487
Epoch 2, Batch 1300/1833: Loss=2.2660
Epoch 2, Batch 1350/1833: Loss=2.3636
Epoch 2, Batch 1400/1833: Loss=2.1392
Epoch 2, Batch 1450/1833: Loss=2.6593
Epoch 2, Batch 1500/1833: Loss=2.4045
Epoch 2, Batch 1550/1833: Loss=2.3521
Epoch 2, Batch 1600/1833: Loss=2.2577
Epoch 2, Batch 1650/1833: Loss=2.1328
Epoch 2, Batch 1700/1833: Loss=2.4083
Epoch 2, Batch 1750/1833: Loss=2.4260
Epoch 2, Batch 1800/1833: Loss=2.2469
Epoch 2 | Train Loss: 2.3701 | Val Accuracy: 35.14%
Epoch 3, Batch 0/1833: Loss=1.8306
Epoch 3, Batch 50/1833: Loss=2.2231
Epoch 3, Batch 100/1833: Loss=2.1491
Epoch 3, Batch 150/1833: Loss=2.2846
Epoch 3, Batch 200/1833: Loss=1.8083
Epoch 3, Batch 250/1833: Loss=2.6228
Epoch 3, Batch 300/1833: Loss=1.9258
Epoch 3, Batch 350/1833: Loss=2.1493
Epoch 3, Batch 400/1833: Loss=2.2249
Epoch 3, Batch 450/1833: Loss=2.1749
Epoch 3, Batch 500/1833: Loss=2.3534
Epoch 3, Batch 550/1833: Loss=2.3016
Epoch 3, Batch 600/1833: Loss=2.1064
Epoch 3, Batch 650/1833: Loss=1.9740
Epoch 3, Batch 700/1833: Loss=2.3792
Epoch 3, Batch 750/1833: Loss=2.2923
Epoch 3, Batch 800/1833: Loss=2.0274
Epoch 3, Batch 850/1833: Loss=2.2423
Epoch 3, Batch 900/1833: Loss=2.1979
Epoch 3, Batch 950/1833: Loss=2.2058
Epoch 3, Batch 1000/1833: Loss=2.7495
Epoch 3, Batch 1050/1833: Loss=2.1511
Epoch 3, Batch 1100/1833: Loss=2.0783
Epoch 3, Batch 1150/1833: Loss=2.4663
Epoch 3, Batch 1200/1833: Loss=2.2608
Epoch 3, Batch 1250/1833: Loss=2.2083
Epoch 3, Batch 1300/1833: Loss=2.1671
Epoch 3, Batch 1350/1833: Loss=2.3567
Epoch 3, Batch 1400/1833: Loss=2.3398
Epoch 3, Batch 1450/1833: Loss=2.0187
Epoch 3, Batch 1500/1833: Loss=2.3257
Epoch 3, Batch 1550/1833: Loss=2.3081
Epoch 3, Batch 1600/1833: Loss=2.2482
Epoch 3, Batch 1650/1833: Loss=2.3363
Epoch 3, Batch 1700/1833: Loss=2.0747
Epoch 3, Batch 1750/1833: Loss=2.2645
Epoch 3, Batch 1800/1833: Loss=2.1525
Epoch 3 | Train Loss: 2.2019 | Val Accuracy: 39.90%
Epoch 4, Batch 0/1833: Loss=1.9568
Epoch 4, Batch 50/1833: Loss=1.8445
Epoch 4, Batch 100/1833: Loss=2.2058
Epoch 4, Batch 150/1833: Loss=2.0617
Epoch 4, Batch 200/1833: Loss=2.3682
Epoch 4, Batch 250/1833: Loss=2.1890
Epoch 4, Batch 300/1833: Loss=2.1770
Epoch 4, Batch 350/1833: Loss=2.3291
Epoch 4, Batch 400/1833: Loss=2.4866
Epoch 4, Batch 450/1833: Loss=1.7747
Epoch 4, Batch 500/1833: Loss=2.0578
Epoch 4, Batch 550/1833: Loss=1.9243
Epoch 4, Batch 600/1833: Loss=2.2480
Epoch 4, Batch 650/1833: Loss=1.9969
Epoch 4, Batch 700/1833: Loss=2.3241
Epoch 4, Batch 750/1833: Loss=2.1047
Epoch 4, Batch 800/1833: Loss=1.9192
Epoch 4, Batch 850/1833: Loss=2.1903
Epoch 4, Batch 900/1833: Loss=2.1192
Epoch 4, Batch 950/1833: Loss=2.0603
Epoch 4, Batch 1000/1833: Loss=2.0833
Epoch 4, Batch 1050/1833: Loss=1.9148
Epoch 4, Batch 1100/1833: Loss=2.1473
Epoch 4, Batch 1150/1833: Loss=2.1276
Epoch 4, Batch 1200/1833: Loss=2.0551
Epoch 4, Batch 1250/1833: Loss=2.4729
Epoch 4, Batch 1300/1833: Loss=1.9811
Epoch 4, Batch 1350/1833: Loss=2.5451
Epoch 4, Batch 1400/1833: Loss=1.9432
Epoch 4, Batch 1450/1833: Loss=2.2138
Epoch 4, Batch 1500/1833: Loss=1.9312
Epoch 4, Batch 1550/1833: Loss=1.9137
Epoch 4, Batch 1600/1833: Loss=2.0663
Epoch 4, Batch 1650/1833: Loss=2.3280
Epoch 4, Batch 1700/1833: Loss=1.8110
Epoch 4, Batch 1750/1833: Loss=1.7029
Epoch 4, Batch 1800/1833: Loss=2.2076
Epoch 4 | Train Loss: 2.0500 | Val Accuracy: 42.67%
Epoch 5, Batch 0/1833: Loss=1.8189
Epoch 5, Batch 50/1833: Loss=2.0424
Epoch 5, Batch 100/1833: Loss=1.7688
Epoch 5, Batch 150/1833: Loss=1.8103
Epoch 5, Batch 200/1833: Loss=2.1632
Epoch 5, Batch 250/1833: Loss=1.5737
Epoch 5, Batch 300/1833: Loss=2.0236
Epoch 5, Batch 350/1833: Loss=2.0002
Epoch 5, Batch 400/1833: Loss=1.6753
Epoch 5, Batch 450/1833: Loss=2.3984
Epoch 5, Batch 500/1833: Loss=2.3709
Epoch 5, Batch 550/1833: Loss=1.8068
Epoch 5, Batch 600/1833: Loss=2.1216
Epoch 5, Batch 650/1833: Loss=1.9220
Epoch 5, Batch 700/1833: Loss=1.8960
Epoch 5, Batch 750/1833: Loss=1.8941
Epoch 5, Batch 800/1833: Loss=2.0231
Epoch 5, Batch 850/1833: Loss=1.9890
Epoch 5, Batch 900/1833: Loss=1.8912
Epoch 5, Batch 950/1833: Loss=1.9416
Epoch 5, Batch 1000/1833: Loss=1.8701
Epoch 5, Batch 1050/1833: Loss=2.0292
Epoch 5, Batch 1100/1833: Loss=1.8729
Epoch 5, Batch 1150/1833: Loss=1.9947
Epoch 5, Batch 1200/1833: Loss=1.5391
Epoch 5, Batch 1250/1833: Loss=1.9723
Epoch 5, Batch 1300/1833: Loss=2.1455
Epoch 5, Batch 1350/1833: Loss=2.0945
Epoch 5, Batch 1400/1833: Loss=2.0628
Epoch 5, Batch 1450/1833: Loss=2.2302
Epoch 5, Batch 1500/1833: Loss=1.7486
Epoch 5, Batch 1550/1833: Loss=1.8370
Epoch 5, Batch 1600/1833: Loss=1.7799
Epoch 5, Batch 1650/1833: Loss=1.9114
Epoch 5, Batch 1700/1833: Loss=1.5100
Epoch 5, Batch 1750/1833: Loss=1.6428
Epoch 5, Batch 1800/1833: Loss=2.2157
Epoch 5 | Train Loss: 1.9042 | Val Accuracy: 42.97%
Epoch 6, Batch 0/1833: Loss=1.4362
Epoch 6, Batch 50/1833: Loss=1.6057
Epoch 6, Batch 100/1833: Loss=1.8004
Epoch 6, Batch 150/1833: Loss=1.6713
Epoch 6, Batch 200/1833: Loss=1.5637
Epoch 6, Batch 250/1833: Loss=1.9110
Epoch 6, Batch 300/1833: Loss=2.1894
Epoch 6, Batch 350/1833: Loss=2.1113
